ID	Chromosome	ChrStart	ChrEnd	SiteSize	AssociatedGene	CodingStrand	Relation2Gene	1__AID_WT_DMSO.EventCounts	1__AID_WT_DMSO.StandBias	1__AID_WT_DMSO.StandDistribution	1__AID_WT_DMSO.GlobalMTPValue	1__AID_WT_DMSO.LocalMTPValue	1__AID_WT_DMSO.Signal2Noise	1__AID_WT_DMSO.CtrlEventCount	1__AID_WT_DMSO.CtrlMTPValue	1__AID_WT_DMSO.Signal2Ctrl
0	chr1	36365329	36368562	3233	Arid5a	+	Body	5	-0.9709505944546688	2(+)||(-)3	0.018444162888722637	5.982729192055558E-7	9.166666666666666	6	1.0	0.9282901974407965
1	chr1	85157618	85158197	579	Gm7609	+	TSSUpstream 37kb	5	0.7219280948873623	4(+)||(-)1	0.00798813477317939	1.1513190401046813E-10	11.0	4	1.0	1.392435296161195
2	chr1	162966198	162983778	17580	Mir5117;Snord47;Dars2;Gas5	+;+;-;+	Contain;Contain;Overlap LowerBody;Overlap LowerBody	13	0.9957274520849257	7(+)||(-)6	3.927081619892192E-7	7.993605777301127E-15	8.9375	12	1.0	1.2067772566730355
3	chr2	32817990	32820405	2415	Rpl12;Snora65	+;+	Overlap LowerBody;Contain	6	1.0	3(+)||(-)3	0.0016539509838029431	1.1176579661764663E-9	11.0	1	0.02440317035894335	6.683689421573736
4	chr2	34808428	34808836	408	Traf1	-	Body	5	0.9709505944546688	3(+)||(-)2	0.00798813477317939	2.006395050102583E-11	10.999999999999998	0	0.16694970450060165	5.56974118464478
5	chr2	102739133	102741321	2188	Cd44	-	Body	1	0.0	1(+)||(-)0	1.0	1.0	5.5	8	1.0	0.1392435296161195
6	chr2	127160288	127165085	4797	Astl;Dusp2	+;+	Overlap UpperBody;Contain	12	0.9182958340544896	8(+)||(-)4	3.7621603432569373E-7	0.0	10.153846153846153	9	1.0	1.4852643159052745
7	chr2	142776444	142777209	765	Kif16b	-	TSSUpstream 49kb	5	-0.9709505944546688	2(+)||(-)3	0.018444162888714644	4.6213433080311006E-10	9.166666666666668	6	1.0	0.9282901974407965
8	chr2	144074569	144093547	18978	Snx5;Snord17	-;-	Overlap LowerBody;Contain	8	-0.954434002924965	3(+)||(-)5	0.01489960318673944	4.917294651463067E-7	5.176470588235294	13	1.0	0.6855066073408961
9	chr2	166889481	166892516	3035	Snord12;1500012F01Rik	+;+	Contain;Overlap LowerBody	12	1.0	6(+)||(-)6	3.7621603432569373E-7	7.993605777301127E-15	10.153846153846153	6	0.6808121465338663	2.227896473857912
10	chr2	181652410	181653424	1014	NA	NA	NA	3	0.0	3(+)||(-)0	0.1986775786386472	9.441652548591861E-5	11.0	6	1.0	0.556974118464478
11	chr4	128734481	128737674	3193	Rnf19b	+	Overlap UpperBody	1	0.0	1(+)||(-)0	1.0	1.0	1.833333333333333	7	1.0	0.15913546241842227
12	chr4	131865021	131868099	3078	Trnau1ap;Snhg12;Snora16a;Snora44;Snora61;Snord99	-;+;+;+;+;+	Overlap LowerBody;Overlap LowerBody;Contain;Contain;Contain;Contain	1	-0.0	0(+)||(-)1	1.0	1.0	11.0	7	1.0	0.15913546241842227
13	chr4	133649653	133655746	6093	Cd52	-	Overlap UpperBody	6	0.9182958340544896	4(+)||(-)2	0.0038613274767138606	2.709221407215523E-7	9.428571428571429	2	0.738662100652375	3.341844710786868
14	chr4	134677988	134678761	773	Runx3	+	Body	0	1.0	0(+)||(-)0	1.0	1.0	0.0	5	1.0	0.2227896473857912
15	chr5	53980778	53982430	1652	Rbpj	+	Body	1	-0.0	0(+)||(-)1	1.0	1.0	5.500000000000001	9	1.0	0.12377202632543956
16	chr5	143661492	143670760	9268	Actb	-	Contain	9	0.9182958340544896	6(+)||(-)3	3.0989321586449847E-4	3.8185454798167484E-11	7.615384615384615	2	0.007753662767280289	5.012767066180302
17	chr6	18835033	18836181	1148	NA	NA	NA	15	-0.9967916319816367	7(+)||(-)8	1.6127099655705024E-9	7.993605777301127E-15	11.0	11	1.0	1.5190203230849402
18	chr6	70670748	70674878	4130	NA	NA	NA	10	-0.8812908992306927	3(+)||(-)7	8.022634444770915E-6	0.0	10.0	5	1.0	2.227896473857912
19	chr6	108610970	108611842	872	Bhlhe40	+	Body	1	-0.0	0(+)||(-)1	1.0	1.0	5.5	11	1.0	0.101268021538996
20	chr6	122504223	122517672	13449	Aicda	+	Overlap LowerBody	6	0.6500224216483541	5(+)||(-)1	0.026068515390723412	2.7682548965124454E-5	6.6000000000000005	15	1.0	0.4455792947715824
21	chr7	52091699	52092853	1154	Il4i1;Nup62-il4i1	+;+	Body;Body	14	0.9402859586706309	9(+)||(-)5	8.697670583757144E-8	0.0	9.058823529411764	20	1.0	0.7797637658502692
22	chr8	26209670	26213734	4064	Plekha2	-	Overlap UpperBody	5	-0.9709505944546688	2(+)||(-)3	0.00798813477317939	1.8523406568604628E-6	11.0	5	1.0	1.113948236928956
23	chr8	87501285	87501411	126	Junb	-	Body	1	0.0	1(+)||(-)0	1.0	0.17861473724792898	2.75	5	1.0	0.2227896473857912
24	chr8	97269611	97271800	2189	Ccl22	+	Body	36	0.8112781244591328	27(+)||(-)9	0.0	7.993605777301127E-15	10.153846153846153	50	1.0	0.8020427305888485
25	chr8	129109586	129116983	7397	Irf2bp2	-	Overlap LowerBody	13	0.9957274520849257	7(+)||(-)6	3.927081619892192E-7	7.993605777301127E-15	8.9375	7	0.9006592893458096	2.0687610114394896
26	chr9	44332967	44337110	4143	Cxcr5	-	Overlap UpperBody	7	0.863120568566631	5(+)||(-)2	8.163227833062336E-4	3.2237412739277715E-10	9.625	4	1.0	1.949409414625673
27	chr10	18728159	18733607	5448	Tnfaip3	-	Body	2	1.0	1(+)||(-)1	1.0	0.3866597693711151	4.3999999999999995	8	1.0	0.278487059232239
28	chr10	53794479	53795300	821	Man1a	-	Body	7	0.863120568566631	5(+)||(-)2	8.163227833062336E-4	7.993605777301127E-15	9.625	1	0.003075648215031812	7.797637658502692
29	chr10	114750747	114752325	1578	Rab21	-	Body	0	1.0	0(+)||(-)0	1.0	1.0	0.0	6	1.0	0.18565803948815932
30	chr11	61464908	61471094	6186	Grap	+	Overlap UpperBody	13	0.961236604722876	8(+)||(-)5	2.8525496205134004E-6	0.0	7.526315789473684	10	1.0	1.448132708007643
31	chr11	86396820	86400216	3396	Vmp1;Mir21	-;-	Overlap LowerBody;Contain	1	-0.0	0(+)||(-)1	1.0	1.0	3.666666666666666	6	1.0	0.18565803948815932
32	chr11	87566711	87576249	9538	Mir142;Bzrap1	+;+	Contain;Overlap UpperBody	11	0.8453509366224365	8(+)||(-)3	8.012444915550532E-6	2.398081733190338E-14	8.642857142857142	13	1.0	0.9425715850937321
33	chr11	104988156	104989507	1351	Mettl2	+	Body	2	1.0	1(+)||(-)1	1.0	0.025085219909964707	3.142857142857143	11	1.0	0.202536043077992
34	chr11	115883288	115884024	736	H3f3b	-	Body	5	0.9709505944546688	3(+)||(-)2	0.00798813477317939	3.8111913625016314E-10	11.0	0	0.16694970450060165	5.56974118464478
35	chr11	117671928	117688495	16567	Tk1;Syngr2;Afmid	-;+;+	Contain;Overlap LowerBody;Overlap UpperBody	19	0.8997437586982626	13(+)||(-)6	4.661870889322017E-11	0.0	9.5	19	1.0	1.113948236928956
36	chr12	56589200	56592948	3748	Nfkbia	-	Overlap LowerBody	18	-0.9910760598382221	8(+)||(-)10	9.513190235566071E-11	0.0	9.9	37	1.0	0.541920763911384
37	chr12	81210339	81213811	3472	Zfp36l1	-	Body	28	1.0	14(+)||(-)14	0.0	0.0	9.625	30	1.0	1.0396850211336923
